Rk,Player,Pos,"Squad
▲",Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_exp,npxG_exp,xAG_exp,npxG+xAG_exp,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
82,Katie Robinson,"FW,MF",Brighton,18,2002,6,1,122,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,1,13,0,0,0,0,0,0.07,0.08,0.16,0.07,0.16
83,Maya Le Tissier,DF,Brighton,19,2002,22,22,"1,980",22,1,0,1,1,0,0,3,0,0.8,0.8,1,1.8,23,95,23,0.05,0,0.05,0.05,0.05,0.04,0.04,0.08,0.04,0.08
84,Emma Kullberg,DF,Brighton,29,1991,13,11,984,10.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,11,34,16,0,0,0,0,0,0.03,0.04,0.06,0.03,0.06
85,Emma Koivisto,"DF,MF",Brighton,26,1994,22,21,"1,909",21.2,3,0,3,3,0,0,1,0,1.3,1.3,0.4,1.7,17,45,71,0.14,0,0.14,0.14,0.14,0.06,0.02,0.08,0.06,0.08
86,Danique Kerkdijk,DF,Brighton,25,1996,20,17,"1,347",15,0,0,0,0,0,0,1,0,0,0,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0
87,Inessa Kaagman,"MF,FW",Brighton,25,1996,20,17,"1,484",16.5,4,3,7,1,3,3,2,0,3.3,0.9,1.8,2.7,8,45,62,0.24,0.18,0.42,0.06,0.24,0.2,0.11,0.31,0.06,0.17
88,Kayleigh Green,"MF,FW",Brighton,33,1988,18,9,914,10.2,3,1,4,3,0,0,2,0,1.7,1.7,0.4,2.2,14,13,72,0.3,0.1,0.39,0.3,0.39,0.17,0.04,0.21,0.17,0.21
89,Felicity Gibbons,DF,Brighton,27,1994,15,10,856,9.5,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,31,33,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
90,Lee Geum-min,"FW,MF",Brighton,27,1994,16,13,"1,128",12.5,2,1,3,2,0,0,0,0,1,1,1.3,2.3,14,40,77,0.16,0.08,0.24,0.16,0.24,0.08,0.1,0.18,0.08,0.18
91,Megan Connolly,MF,Brighton,24,1997,20,16,"1,448",16.1,0,2,2,0,0,0,1,0,0.5,0.5,1.9,2.3,3,54,26,0,0.12,0.12,0,0.12,0.03,0.12,0.15,0.03,0.15
92,Danielle Carter,"FW,MF",Brighton,28,1993,21,17,"1,440",16,2,1,3,2,0,0,2,0,2,2,0.6,2.6,25,38,72,0.12,0.06,0.19,0.12,0.19,0.12,0.04,0.16,0.12,0.16
93,Danielle Buet,DF,Brighton,32,1988,2,0,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Ellie Brazil,"FW,MF",Brighton,22,1999,19,12,979,10.9,0,1,1,0,0,0,1,0,1,1,0.8,1.8,18,26,46,0,0.09,0.09,0,0.09,0.1,0.07,0.17,0.1,0.17
95,Libby Bance,MF,Brighton,18,2003,3,1,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
96,Rinsola Babajide,FW,Brighton,23,1998,3,1,93,1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,2,7,0,0,0,0,0,0.08,0.07,0.14,0.08,0.14
97,Drew Spence,MF,Chelsea,28,1992,16,5,435,4.8,1,1,2,1,0,0,0,0,1.1,1.1,0.3,1.4,1,21,11,0.21,0.21,0.41,0.21,0.41,0.23,0.05,0.29,0.23,0.29
98,Ji So-yun,MF,Chelsea,30,1991,12,8,649,7.2,0,5,5,0,0,0,0,0,1.2,1.2,1.3,2.5,22,58,25,0,0.69,0.69,0,0.69,0.17,0.18,0.34,0.17,0.34
99,Guro Reiten,"MF,DF",Chelsea,27,1994,21,18,"1,495",16.6,7,5,12,7,0,0,2,0,3.3,3.3,3.8,7.1,48,74,167,0.42,0.3,0.72,0.42,0.72,0.2,0.23,0.43,0.2,0.43
100,Aniek Nouwen,DF,Chelsea,22,1999,14,12,976,10.8,1,0,1,1,0,0,0,0,1.5,1.5,0,1.6,5,44,3,0.09,0,0.09,0.09,0.09,0.14,0,0.15,0.14,0.15
101,Zećira Mušović,GK,Chelsea,25,1996,10,8,788,8.8,0,1,1,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0.11,0.11,0,0.11,0,0.05,0.05,0,0.05
102,Maren Mjelde,"DF,FW",Chelsea,31,1989,4,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
103,Melanie Leupolz,MF,Chelsea,27,1994,7,6,513,5.7,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,3,23,14,0,0.18,0.18,0,0.18,0.05,0.09,0.13,0.05,0.13
104,Fran Kirby,FW,Chelsea,28,1993,13,9,858,9.5,6,6,12,6,0,0,0,0,3.8,3.8,4.1,8,20,72,102,0.63,0.63,1.26,0.63,1.26,0.4,0.43,0.83,0.4,0.83
105,Sam Kerr,FW,Chelsea,27,1993,20,17,"1,554",17.3,20,4,24,20,0,0,1,0,11.7,11.7,3.8,15.5,37,49,199,1.16,0.23,1.39,1.16,1.39,0.68,0.22,0.9,0.68,0.9
106,Lauren James,"FW,MF",Chelsea,19,2001,6,0,113,1.3,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.4,5,11,11,0.8,0,0.8,0.8,0.8,0.3,0.05,0.35,0.3,0.35
107,Sophie Ingle,MF,Chelsea,29,1991,19,16,"1,446",16.1,0,1,1,0,0,0,2,0,0.8,0.8,1.3,2,6,140,25,0,0.06,0.06,0,0.06,0.05,0.08,0.12,0.05,0.12
108,Pernille Harder,"FW,MF",Chelsea,28,1992,16,13,"1,193",13.3,6,3,9,5,1,1,1,0,5.2,4.4,3.1,7.5,49,65,124,0.45,0.23,0.68,0.38,0.6,0.39,0.23,0.62,0.33,0.56
109,Jorja Fox,DF,Chelsea,17,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,Jessie Fleming,"FW,MF",Chelsea,23,1998,21,11,"1,059",11.8,6,4,10,6,0,0,1,0,2.8,2.8,2.5,5.3,13,55,73,0.51,0.34,0.85,0.51,0.85,0.24,0.21,0.45,0.24,0.45
111,Magdalena Eriksson,DF,Chelsea,27,1993,16,13,"1,256",14,1,0,1,1,0,0,1,0,1.5,1.5,0.5,1.9,14,87,16,0.07,0,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14
112,Bethany England,FW,Chelsea,27,1994,20,11,870,9.7,8,4,12,7,1,1,0,0,5.9,5.1,2,7,13,33,73,0.83,0.41,1.24,0.72,1.14,0.61,0.2,0.81,0.53,0.73
113,Erin Cuthbert,"MF,FW",Chelsea,23,1998,20,17,"1,513",16.8,4,4,8,4,0,0,0,0,2.4,2.4,4.2,6.6,47,86,70,0.24,0.24,0.48,0.24,0.48,0.14,0.25,0.39,0.14,0.39
114,Niamh Charles,"DF,MF",Chelsea,22,1999,20,12,"1,039",11.5,1,1,2,1,0,0,0,0,0.8,0.8,0.8,1.6,22,49,77,0.09,0.09,0.17,0.09,0.17,0.07,0.07,0.14,0.07,0.14
115,Jess Carter,DF,Chelsea,23,1997,21,19,"1,685",18.7,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,11,58,21,0,0.05,0.05,0,0.05,0,0.04,0.04,0,0.04
116,Millie Bright,DF,Chelsea,27,1993,22,22,"1,971",21.9,0,0,0,0,0,0,3,0,1.4,1.4,0.9,2.3,20,129,10,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1
117,Ann-Katrin Berger,GK,Chelsea,30,1990,14,14,"1,188",13.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Jonna Andersson,"MF,DF",Chelsea,28,1993,20,11,"1,006",11.2,0,3,3,0,0,0,1,0,0.2,0.2,1.3,1.5,19,49,68,0,0.27,0.27,0,0.27,0.02,0.11,0.13,0.02,0.13
119,Alsu Abdullina,"MF,FW",Chelsea,20,2001,5,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0
120,Danielle Turner,DF,Everton,30,1991,21,19,"1,725",19.2,2,0,2,2,0,0,3,0,0.8,0.8,0.4,1.1,26,53,48,0.1,0,0.1,0.1,0.1,0.04,0.02,0.06,0.04,0.06
