Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
101,Ramona Bachmann,"FW,MF",Chelsea,28,1990,6.3,1,17,8,47.1,2.7,1.27,0.06,0.13,16.2,0,0,0,2.1,2.1,0.13,-1.1,-1.1
102,Jonna Andersson,DF,Chelsea,26,1993,14.1,0,8,1,12.5,0.57,0.07,0,0,22.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7
103,Danielle Turner,DF,Everton,28,1991,14,1,7,2,28.6,0.5,0.14,0.14,0.5,16,1,0,0,0.8,0.8,0.11,0.2,0.2
104,Abbey-Leigh Stringer,MF,Everton,24,1995,5.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
105,Molly Pike,MF,Everton,18,2001,6.3,1,12,4,33.3,1.92,0.64,0.08,0.25,21.7,0,0,0,1.6,1.6,0.14,-0.6,-0.6
106,Esme Morgan,DF,Everton,18,2000,10.2,1,4,1,25,0.39,0.1,0.25,1,15.7,1,0,0,0.3,0.3,0.07,0.7,0.7
107,Simone Magill,"FW,MF",Everton,24,1994,9.9,1,15,8,53.3,1.51,0.8,0.07,0.13,13.8,0,0,0,1.8,1.8,0.12,-0.8,-0.8
108,Sandy MacIver,GK,Everton,21,1998,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
109,Tinja-Riikka Korpela,GK,Everton,33,1986,11,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
110,Chloe Kelly,FW,Everton,21,1998,11.8,9,45,13,28.9,3.8,1.1,0.2,0.69,22.3,2,0,0,4.7,4.7,0.1,4.3,4.3
111,Inessa Kaagman,"FW,MF",Everton,23,1996,10.9,1,18,4,22.2,1.64,0.37,0.06,0.25,19.9,2,0,0,1.7,1.7,0.09,-0.7,-0.7
