Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
178,Lizzie Arnot,"FW,MF",Manchester Utd,23,1996,1,0,0,0,0,1,0,4,1,1,0,0,0,2,1,2,33.3
179,Fara Williams,"MF,FW",Reading,35,1984,13.5,0,0,0,10,10,2,102,4,7,0,0,0,57,8,22,26.7
180,Rachel Rowe,DF,Reading,26,1992,10.5,0,1,0,7,12,1,27,17,20,0,0,0,86,17,16,51.5
181,Jo Potter,DF,Reading,34,1984,7.9,0,0,0,4,5,0,8,15,6,0,0,0,77,16,9,64
182,Mayumi Pacheco,DF,Reading,20,1998,7.6,1,0,0,8,8,0,7,12,15,0,0,0,56,11,11,50
183,Jade Moore,MF,Reading,28,1990,13.7,5,0,0,36,24,1,11,35,24,1,0,0,110,11,20,35.5
184,Grace Moloney,GK,Reading,26,1993,9.2,1,1,0,2,0,0,0,0,0,0,0,0,15,3,0,100
185,Kristine Leine,DF,Reading,23,1996,11,1,0,0,13,9,1,10,15,17,0,0,0,82,18,13,58.1
186,Rachael Laws,GK,Reading,28,1990,4.8,1,0,0,0,1,0,0,0,0,0,0,0,6,2,0,100
187,Lisa-Marie Karlseng Utland,"FW,MF",Reading,26,1992,4,2,0,0,11,2,4,4,2,0,0,0,0,13,9,21,30
188,Angharad James,"MF,DF",Reading,25,1994,12.6,2,0,0,12,5,2,15,21,15,1,0,0,103,19,25,43.2
189,Sophie Howard,DF,Reading,25,1993,10.1,2,0,0,6,8,0,1,19,8,0,0,0,58,27,10,73
190,Rakel Hönnudóttir,FW,Reading,30,1988,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,57.1
191,Natasha Harding,"DF,FW",Reading,30,1989,6.3,0,0,0,3,7,0,13,17,8,0,0,0,36,7,12,36.8
192,Millie Farrow,FW,Reading,23,1996,3,1,0,0,3,3,3,1,1,1,0,0,0,14,1,4,20
193,Amalie Eikeland,"FW,MF",Reading,23,1995,12.2,2,0,0,11,19,10,31,3,5,0,0,0,59,20,35,36.4
194,Brooke Chaplen,FW,Reading,30,1989,11.1,0,0,0,11,11,10,18,2,6,0,0,0,48,5,25,16.7
195,Molly Bartrip,DF,Reading,23,1996,2.7,1,0,0,3,1,0,1,8,3,0,0,0,13,6,7,46.2
196,Remi Allen,MF,Reading,28,1990,12,4,0,0,19,28,2,1,15,27,0,1,0,82,23,24,48.9
197,Megan Wynne,"DF,FW",Tottenham,26,1993,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
198,Siri Worm,DF,Tottenham,27,1992,8.1,1,0,0,11,2,0,20,8,12,0,0,0,53,15,15,50
199,Vencislav Vasilev,GK,Tottenham,31,1988,1.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
