Rk,Player,Pos,"Squad
▲",Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
198,Siri Worm,DF,Tottenham,27,1992,8.1,472,348,122,25,0,4,20,90,7,6,1,0,326,2,6
199,Vencislav Vasilev,GK,Tottenham,31,1988,1.6,54,26,28,5,0,0,0,0,0,0,0,0,30,0,0
200,Rebecca Spencer,GK,Tottenham,28,1991,13.4,579,419,159,24,0,2,0,0,0,0,0,0,451,1,0
201,Jenna Schillaci,DF,Tottenham,35,1984,3,155,150,5,4,0,1,0,1,0,0,0,0,128,0,0
202,Lucy Quinn,"MF,FW",Tottenham,25,1993,5.9,165,152,11,1,0,3,27,2,8,4,0,0,98,2,15
203,Ria Percival,"MF,DF",Tottenham,29,1989,14,477,393,83,10,0,2,22,69,4,2,0,0,329,1,9
204,Chloe Peplow,MF,Tottenham,20,1998,9.1,376,351,24,17,1,8,11,0,7,7,0,0,303,1,7
205,Ashleigh Neville,DF,Tottenham,26,1993,12.1,612,445,163,4,0,1,14,159,0,0,0,0,402,4,7
206,Emma Mitchell,DF,Tottenham,26,1992,3.5,157,120,35,7,0,0,10,25,3,3,0,0,111,2,1
207,Lucía Marte,"DF,FW",Tottenham,21,1997,1.6,50,39,11,0,1,0,3,11,0,0,0,0,22,0,0
208,Coral-Jade Haines,MF,Tottenham,23,1996,1.2,26,23,3,2,0,0,2,1,0,0,0,0,18,0,1
209,Josephine Green,MF,Tottenham,26,1993,12.4,403,395,5,5,1,1,7,0,0,0,0,0,285,3,6
210,Kit Graham,"FW,MF",Tottenham,23,1995,12,304,277,24,4,3,2,16,3,14,4,0,0,164,3,14
211,Hannah Godfrey,DF,Tottenham,22,1997,14,689,652,33,32,0,3,0,1,0,0,0,0,533,4,6
212,Rachel Furness,"MF,FW",Tottenham,31,1988,9,288,278,9,4,2,3,11,5,0,0,0,0,169,1,7
213,Anna Filbey,DF,Tottenham,19,1999,12.8,558,537,20,18,3,3,1,2,0,0,0,0,398,1,8
214,Rianna Dean,FW,Tottenham,20,1998,12.6,211,173,36,1,0,0,1,2,0,0,0,0,145,2,4
215,Gemma Davison,"MF,FW",Tottenham,32,1987,9.7,272,253,19,12,0,3,22,5,2,1,0,0,176,0,5
216,Rosella Ayane,"FW,MF",Tottenham,23,1996,6.4,136,125,11,1,1,0,25,7,1,1,0,0,84,0,5
217,Angela Addison,"FW,MF",Tottenham,19,1999,2.2,46,41,4,0,0,0,2,3,1,0,0,0,22,1,3
218,Filippa Wallén,DF,West Ham,19,2000,0.6,30,14,16,0,0,0,0,16,0,0,0,0,11,0,1
219,Laura Vetterlein,DF,West Ham,27,1992,12.7,644,571,72,24,0,1,2,47,0,0,0,0,454,1,13
220,Martha Thomas,FW,West Ham,23,1996,9.8,245,227,18,0,0,0,9,2,0,0,0,0,131,0,14
221,Cho So-hyun,MF,West Ham,31,1988,6.1,211,209,2,1,0,0,5,0,1,0,0,0,156,0,5
222,Erin Simon,DF,West Ham,24,1994,1.5,60,40,20,0,0,0,1,20,0,0,0,0,45,0,1
223,Julia Simic,"MF,FW",West Ham,30,1989,2.3,99,98,1,1,0,0,0,0,0,0,0,0,70,0,0
